label,text
0,Bitten to blood by my cat on my way for a rabies bacterin Seems 7 shots for 2 months Never wash my cats at home again they hate water 
1,dude that is my favorite sandwich place ever ummm did you take PICTURES? 
0,is sad that shin ae got married and it wasn't to alex 
0,Sure you will tweet about this when you're back but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today Muy triste 
0,ohh thursday i have exams all day what about wednesday ? 
1,there was a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow 9am 
0,i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go 
0,goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now 
0,I love those 'it'sakey' USB sticks We only have the 4GB in Australia 
0,fresh prince and sleepy sleeps my nightly routine gotta go to Dmv early tmrw 
0,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i can't watch and code 
0,i am jealous of your mom talking to i want to see you all our twittering is making me miss you 
0,I can't sleep I keep thinking about the puppy I played with today 
0,I'm suppposed to be sleep But i got some much to do & i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot; blaahh 
1,How can it be so freaking difficult to get a system-wide spellchecker? Shit I'd settle for an office suite one Stupid unhelpful Windows 
0,Last one month due to summer strawberry is not availble in the Chennai markets! 
1,work at 6am Gotta go to bed soon 
1,correct! I ADORE him I just plucked him up and put him under my arm cuz he was cryin All better now! Hahaha 
0,hiii im on my ipod i cant fall asleep 
0,dont wanna work 11-830 tomorrow but i get paid 
0,feels sad coz i wasnt able to play with the guys!!! com-p-wxiux 
0,cayogial i wanted to come to BZ this summer :- not so sure anymore a teacher's life in the summer SUCKS 
0,First ever dropped call on my mobile On a call to no less! ( being charged for data even though I have a data pack ) 
1,Oh is that time for real? 
0,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either 
0,Oh no one minute too late! Oh well 
0,i wanted to come to BZ this summer :- not so sure anymore a teacher's life in the summer SUCKS 
0,THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up 
0,ahh! big scary bug flying around my room!!!!! 
0,I wish she knew what she puts me through She stole my heart never gave it back and occasionally she likes to be like look what I have! 
0,is up with a nasty cough i cant be sick i have a huge weekend ahead of me 
1,That was stone cold Crazy ? 
1,shift time bbye biochem waaaaahhhhhh!! com-p-wxizo 
1,I'm sure some1 will cum out and play I'm workin through til midnight 
1,I second that I wish it rained more where I am 
0,early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine! misshu! Love ya! 
1,damn it were is Eric or anyone else when you need your hair to be played with 
1,I'm feel deflated Ugh No more dog 
0,Allergies suck ducks nuts <=====8@8=====> 
1,Well it almost was a good day Guess I just retry tomorrow 
0,Waraku is tasteless and expensive! Portion is so little!!!!! re: waraku 
1,sounds good Appreciate the suggestion Been a week now and we're still offline Time to ask for a refund 
0,He died Wait what about Magic Jack? I just read it 
0,wonders why her Karma points turned into 0 00 com-p-wxj54 
1,Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca Still work 2morrow tho 
0,Is miserable i feel like im gona cry sux! 
1,well I ran out of beer so I left Not sure about the ETA Waiting waiting waiting Bleh Gonna be a long nite methinks 
0,$#@! My nose stud fell out and I can't find it Looks like I'll have to head into Amsterdam today and get a new one 
1,claire love the show got into the office 5am and no radio 
1,Pats in philly at 2 am I love it Mmm cheesesteak Miss my boyfriend but I love vacation 
0,*sigh* I'm going to bed I just don't feel right anymore 
1,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes 
1,EpiCentre Wheelock Place - tourists only 
0,Now I am depressed after watching so you think you can dance 
0,Just cross 'cause I'm stuck twiddling my thumbs now ugh 
1,I know But like I said I have no idea how long it takes for them to investigate this stuff 
0,I cant sleep but im too sore to move 
1,com-4phze - Awe! I miss my baby 
0,just answered you- never learned how to write in French- just basic stuff- 
1,what is it with chocolates? i just can never say no 
0,Achieving a new appreciation on how a xml build script can really be painful and cumbersome 
1,i'm too awake now ill have a nap this afternoon 
1,still needs another 6 hours of sleep 
1,RIP leonardo You were a great mini fiddler crab 
1,Morning tweeple way to early again 
0,Last day working for the Uni today sad times 
1,thanks neemah I'm gonna be soooo close to you and izzy yet so far 
0,My head hurts so bad I could scream! 
0,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain 
0,New work wellness challenge not going well I committed to not check email between 10 pm and 6 am Failed on first day Twice 
0,New blog post: [Blog] auto insuran : I just found that my auto insurance policy had been expired ( I am too careless ) Meanw 
1,where are all ma bestfriends at ? MIA or wat ? 
0,oh men!!!!!! I really can't see my face c'mon guys!!! 
0,I'm showing my age Renewed my tags last week went down $20 Got my insurance renewal email today went down $100 I don't wanna be old 
0,my sole supporter is not my sole supporter 
0,don't you hate it when you finish all your work and there's still 1 25 hours left of work time 
0,is still missing her husband I really want him home 
1,2 days of this month left and I only have 400MB left on my onpeak downloads 
1,Up is out? I didn't get the memo It looks amazing 
0,I've given up on pizza - kids would never let me have my fav (the hot ones) 
0,Up reading tabloids about other people's lives thinking what I'm gonna do with mine when my baby leaves? 
0,yearling in pet home died very sad for their whole family 
1,fun in the sun hmmm hell no it's cold 
0,I got a giant splinter stuck up underneath my finger nail today at Muppets it hurt But I got to go to First Aid for the first time! 
0,We hate change so of course We're fans for life <3 Oh and if we haven't met Rob by then something went horribly wrong 
0,is feeling sad for some reason com-p-wxji3 
0,well fuck- this new pain med has an odd warning that actually applies to me i can't take this -chan is displeased 
0,just uploaded my new blog a painful story about an 80s year old man who cried because he wanted to die very sad 
1,i don't think so I WANT DETAILS 
1,Hi !!! Who is Mary Poppins??? 
0,Its so addicting but its kind of a curse to do them at night time Everytime i do one i feel like making music afterwards 
1,my last tweet didn't send bad phone 
1,OMG Ur alive!!! LOL 2day has gone sooo slow I'm going insane Grrr You doing anything tonight? 
0,Have a headache I'm going to bed Goodnight! 
1,I was watching Parental Control 
1,did you get them from california vintage? ahahah they have the BEST dresses i want them but i dont have ebay 
0,I just saw pics from this past Thanksgiving and am sad because Grandma was in them 
0,Took a shift tomorrow I don't really feel like working right now 
0,but now i have no money for a phone 
0,Spent last night in A&E (ER) Wife tangled wheels with Daughter & hit the deck Dislocation & fracture resulted 
0,9 days I'm about ready to visit Torchwood and see if they've heard anything 
1,where are you? In Bris? I can't hear any thunder 
1,bec vs fat food --- winner = fat food but not this weeknend ill beat it! 
0,Too bad the Red Devils disappointing to say the least 
1,I had a dream about a pretty pretty beach and there was no beach when I woke up 
0,Have a 3ware 9650SE not fast enough for 3x X25-M SSD RAID5 800Mhz IOP on the HPT Might try an Adaptec 5405 (1 2Ghz) 
1,when da heck will the garage man get here I ask you WHEN 
0,Ate Mandy please forgive me I really am sorry I don't wanna lose my Bff 
0,Umm yeah That's probably a pretty good note to self because eeeeeewwwwwwww 
0,why are plane tickets so expensive 
1,(@wendyisastar) Umm yeah That's probably a pretty good note to self because eeeeeewwwwwwww 
0,daaammmnnnnn I do wish I was there 
0,Went to Di Bella coffee roasters today and asked for a job The person I needed to speak to is on holiday #fb 
0,I played up until the latter parts of the voodoo village part co-op until I lost my usual partner 
0,Nite Now I'm up n bored as opposed to almost sleep frm b 4 
1,happy birthdayyy! hope you have an awesome day didn't see you at next last night! 
0,im doing that shit right now im on vacation and you got me workin 
1,ill be over in an oir 
1,guess its a no go girlie I'm still at the gym and work at 6:30am 
0,would wish the severe migrains would stop!!! doc's prescriptions arent working 
0,No internet last night; ER was brill there was a massive explosion at the end of a nearby gas works ER on standby 
0,cuz airlines are super lame 
0,- Still a pity it comes with no lamb though 
0,I'm sorry to hear that Here is my optimist: Things will get better For all of us 
1,is done painting all the bedroom furniture I still have to do the table but it will wait until after the move Uggh moving in the heat 
0,I'm so very tired and have insomnia 
1,A hungry fool Ill probably never see that Krispy Kreme again Had to enjoy it They closing down 
1,airport? and you didnt show up tonight homo! 
0,I hate Bakersfield and I hate the Ports let me go home already I want to start my vacation 
1,Looking for desktop twitter app that will actually let you access URLs any suggestions? I liked Twittle but no linking 
0,people in my house do not know how to close doors 
1,Why am I completing facebook quizzes at this time of the morning especially a friday morning 
1,out with & i am soooo hungry 
0,I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death 
0,Had to cancel wow for now 
0,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio 
0,But yeah I'm sad about my &quot;Ravenclaw&quot; account I love that account to bits 
0,It's 1:15 AM and I hear a helicopter flying over my house That's kind of weird In other news my headache is back BOOOOO 
0,oh no i am always here ;) <3 
1,back from school Ms Suhana's last day as our FT OCU was okay I'm playing ALTNOY over and over again 
1,poll : was trying to get it to work in a powerpoint to no avail 
1,took a math test today The day before the test the teacher says bring your calculator Luke was confident Teacher decided no calcs 
1,omg the concert was awesome madrigals gave me chills on almost every piece brooks also called up alumni but i didnt get to go 
1,yeah it's terrible cockatoos are the hardest to live with so emotional good thing he found you though!! 
0,Up late with nothin 2 do 
0,i think the vog is making me sicker than i think feeling slightly achy 
0,i was watching Harpers Island lol there was no vodka involved 
0,i am doing homework it sux big time maths is the worst!!!!!! 
1,would have been better IMO if it let you play through all 3 songs provided I just start to &quot;get it&quot; and it blacks out 
0,sometimes i wish things could go back to the way they were the beginning of last summer 
0,I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they didn't 
0,Trudy's off Burnet the one up north that no one goes to 
0,I feel the same way but I guess no matter where you are there will always be memes 
1,I Can`t do 30 minutes of Treadmill but done 30 minutes for today already gonna do 20 minutes more 
1,With friends like VaikO Nedumaran LTTE didn't need enemies Wrong advice at wrong time led to numerous deaths & a lost cause as well 
0,Work day 7 of 7 
1,Chillin with the roomies Can't wait for the zombie CLWN CR Its gonna be 6-8 weeks 
1,I looove guitars and playing them I think they sound magnificent If only i was better If only 
0,No refunds but they do retrieve accounts takes like a week Just hoping the thief doesn't use hacks or then it's permaban 
1,no im not cries LOL 
0,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind bit misleading and disappointing LOL 
1,EpiCentre Wheelock Place 250 units & for tourists only Starting today 
0,I hate the new mt dew commercial the one with a giant mosquito it scares me and grosses me out all at the same time 
1,Come on Knight It's been well over 4 hours 
0,not super keen on the drive home through the rain additional concentration required that i don't really wanna deal with 
1,aw u can't let me in on the secret! 
1,Im sorry I don't think I stick out at least compared to what I used to look like 
0,no transport for church wont be making it im crushed Oh well more time for assignments I suppose My throat really hurts 
0,i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad ultimately the baby is the one who suffers 
0,Lies lies lies you just cant avoid to lie about practically EVERYTHING! 
1,twittascope is NOT rocking my socks - go away already!! 
1,Driving Back home because I forgot the piece of cake for 
0,so I tried jumping without the trampoline and its like thud* thud* shouldn't have eaten that cookie me-1XIz 
0,Everytime I send an email to my coach I feel a need to practice shitty balls Lol 
0,It's pissing me off and not letting me follow ericka 
0,Is going to sleep not peaceful wanted to hear him say Good Night but that didn't happen Good Night everyone 
0,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried 
1,i was so close to the tacos one spot too late 
0,umm how bout em? aint get 2 see da game but i see dey survived anotha game of da series due to notin but Lebron im guessin 
1,is thinking so much and i'm at work 
0,I have forgot the live with the Jonas Brothers on Facebook 
0,I haven't seen Muffin in two whole days! 
0,i'll miss y'all back give my regards 
1,my gap year is going so quick 
0,I have to admit I'm a bit bummed out that I wasn't with my friends walking today 
1,girl a blunt is soooooooo in my thoughts right now I had an absolutly GREAT day with a few stressors come home 
0,my twitter has been hacked again 
0,Just found mj mouse flats at DJs Of course there are none left in my size 
1,i wont have time to buy and i need a new binder pa 
0,hahaha well its try its so ugly 
0,I don't even want to know WHY you know about VHEMT but don't go - we'd miss you 
1,That's awesome! We have that this weekend too but I can't go because I'm moving this Sat I should be a lot of fun though 
1,night night twitter world [still cant believe the thomas thing tomorrow's gunna be FUN-SAD] 
1,this is happening to me too 
1,bored now because i was talking to someone but now they're busy with something else just kinda a bummer idk 
0,i knoww things won't be the samee <-3 
0,OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am wish I said 9am I'm beat 
1,i kno i doooo!!!!!!!!!! yall partyin with out me 
0,Okay so twitter suddenly changed how do I respond to messages now 
1,ugh my dad just told me to read an article about Kavya Shivashankar the spellin bee girl and be more like her 
0,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered I suck at it! 
0,Going to sleep Gonna fall asleep playing apps again Tmrw is going to suck 
1,YEA I GOTTA BE UP AT 7:30 
0,I hate when my bf beats da dogs But I guess that the only way to teach these pitts 
0,sprained my ankle like really badly and tore some stuffs it hurts! and its my birthday weekend 
0,I can't believe the Metal Gear Solid song was stolen I'm so disappointed ly-YKkSu 
0,think i may have broke a toe at the bar tonight thanks drunk girl for steppin all over me!!!!! 
1,Not one sale done today at work Explored balconies in the big theater w coworkers A fun day but void of chili fries and tips 
0,I wish I had Left 4 Dead But first I'd need something to play it on 
1,that story reminds of living in Portugal 
1,youre diabetic? so is my dad & i might be too not sure are you still allowed to eat sugar throughout the day? 
1,I spilled my beer all over my leg Wasted half my beer Home now I met a cute girl Good conversation 
0,my roommate loves to ignore me 
1,I'll make him nachos tomorrow Better than if he would have made them himself 
1,yeahhh &dont judge my pillow 
1,Scary lightning and thunder I'm glad it's over now Going to sleep I hope I'm not late to school tomorow again Haha 
0,my teeth and head hurts 
0,I HATE rob zombie movies & the smell of weed Vommmm 
0,Maths and Science were the strongest for me i think dunno bout geography only did like 1 day of study for 1-2 a year of work! 
0,Hope I get a job cuz we need an apartment I'm drunk & miss my lil punkin TEHE!!! 
0,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover 
0,I need to be held Gnite 
0,Hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops Dang car accidents 
0,no more arrested development i am sad 
1,wicked what time you leaving? how come you cant stay the night 
0,omg i keep losing followers this is so sad i want 90 one day thats my goal ;D 
0,I feel so deflated No more doggy 
0,i wanna see her hair hows everyone? 
0,I just had to empty my trash on the mac that was one of THE MOST DIFFICULT things I have ever done in my life 8 000 pictures are GONE 
0,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner im so sad i love my dog soo much 
0,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over 
0,Aww Pray for the arroyo family everyone! 
1,there's a manual process but it's taking 4ever on my outlook database pffff crappy msft product 
0,Fuuudge Movie store is closed 
0,ALO is so sad and quiet and empty tonight 
0,Hahahaha! It's not horrible if others were singing with I'm sure it could work I wish I could afford my own drum set 
0,You never answered your DM I sent you I need your info 
0,Am trying to get through the pilot of the first season of friday night lights Oh gosh Pass the tissue 
0,Aw where are you headed to? i just cancelled my trip to Aussie 
0,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!! 
0,I didn't think anyone caught that 
0,I need to be sleeping But i'm not even tired 
1,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE 
1,lyin in bed up faaaaar too early 
0,Sad that Christian Lacroix had to file bankruptcy 
0,I dont feel good AT ALL fuckkk 
0,why did i agree to work a double shift 
0,looks like i'll never go to the zoo 
0,Ohh poor girl I'll email her I am relying on you being here in October Mr!! 
1,When will Medhurst play again? 
0,aarrgghh - fu*k a hose has leaked water all over the new floating floor 
0,Have to go to the dreaded DMV tomorrow 
1,I'm a bit Ben's Thai-ed out 
1,english class! working on interactive orals 
0,Thank you for the rec but that doesn't work 
1,I'm sorry Excited for tomorrow night? Karaoke!! Getting anything special for bday? 
0,My puppy Gizmo h8s me haha He still growls me I always look back my long pruple scar on my fingie 
0,I don't know how ima work out tomorrow wit my body dis sore ugh 
1,Yeah plus it's just a little too far to walk to Pinocchio's for sushi 
0,I'm feeling this pressure in my head that always kicks in just before a nasty headache I'm not looking forward to this 
0,Taylor Swift and Joe Jonas looked really good together I'm kinda sad they broke up 
0,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts 
0,Lady across the way had a miscarriage say a prayer 
0,God I just want to sleep 
0,ohhhh thunderstorms boo why do they always have to make the power go out?? 
0,I feel so deflated No more doggy 
0,Found my book Starting a real paper-bound journal tonight Have an annoying zit above my lip Makes me look like I have herpes 
0,RATT ROCKED NASHVILLE TONITE ONE THING SUCKED NO ENCORE! LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW PEARCY HAS THAT HOTT BAD BOY LOOK 
0,is feeling bad just got bad news about my Mum 
0,But but I dun wanna 
0,damn girl I'm so down but ya gotta let me know so I can get my kit together & I got a flyer Any next weekend? I&quot;M DOWN! 
0,dbl booooooo for being sick flippin blows! bahaha i kno i dont have many friends on here either i feel so lame haha 
1,thats what i was thinking but the only time it's gonna be on is 1 am! 
1,Peeps still here Fun times Gotta sleep tho Work in the A M Some cool hot chicks here But none as cool as ____________ Missing her 
0,don't feel like working I think I tweet this too often! 
0,feels sick to my stomach and idkk whyy 
0,vineri nimic special sau probabil un alt weekend pierdut 
1,Counting the hours of lost sunshine until the Weekend 
1,- dude i just saw your SF pics looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho 
1,is home safely but hungry 
0,Um I was thrown from van yesterday and had to be taken to the ER 
0,got to final table but went out third Don't think I'll be getting my free seat 
1,good morning work this morning gutted lol nevermind 
0,I have to work in the morning while my friends get to party it up stupid bberry lite flashing red and I have no messages! 
1,FB is boring and i wanna sing RIGHT NOW ! *-* 
1,hahaha I don't know anyone or anything about it except they have powers lol I live in my own bubble 
0,The humpalow um ya I think so Cell is dying 
0,Last day at work Sick to the bone 
0,i feel like I'm on house arrest 
1,love is like a war easy to begin hard to end fiuuhh 
1,ur supposed to be in BK tho 
0,Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad 
1,Must have new music I won't sleep until you give us Chapter 1 I might die first though Hurry! 
1,love the song &quot;together&quot; that's &quot;his&quot; song for me well i think it's still is 
0,my computers broken and I broke my laptop so I had to use the phone ahh still on he cause they fucked up my order 
1,It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones Going home again today 
0,It's a sad economy Just heard of another friend losing their job so sad But just a reminder that 
0,I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages 
0,I'm back top molar extracted swollen face all numb But no more toothache or sinus pain 
1,just finished 8 hours of Texas Life Insurance CE tonight 22 more hours to go 
0,does anyone know any good rap songs? i need to make a rap-fun cd and i have no idea helllllpppp 
1,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!! 
0,what happen to the maids of yours? Quit once again? 
0,I'm awake Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep! 
0,At Charle's with the power out LOL! Damn SaveMart lost power and we could not buy beer 
0,heehee i love you! i am tired 
0,my mobile phone refuses to charge!! either the battery is broken or the chargerrr ( booooo 
0,oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something 
0,hmmm I thought u were sleeping!! Too bad I can't see those videos until tomorrow night 
0,Morning everyone sorry for going early last night had bad news felt totally crap Today is a new day 
0,went to the beach and it started raining 
0,how I wish my parents put me into a Chinese school when I was younger Then it'll be so much easier for me to get a job 
1,Yeah physically moving too! Apparently we'll be reporting directly to Mr Hayward 
1,airport? and you didnt show up tonight homo! 
0,jealous it looks like schindler's list in toronto 
1,what?! Come as you are!!! But erock just left bah D: 
1,So I need to make a lot of money tomorrow 
0,being in your room makes me sad 
0,Nearly fell asleep but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all 
1,for the gays i only made 200 tonight 
0,oh f*ck! I completely forgot about Thirsty Thursday! oh my gaga this sucks 
0,if one people did any wrong the world blames all the people over there this is the great world which we are living in! Shit! 
1,nope they are all sleeping cuz they live on the east coast 
1,I bet its cool down in SR huh? It's not here I haven't stopped sweating since noon when dad and I were packing 
0,Tactical mistake: going to the city library and buying milk Who knew? OUCH OUCH OUCH Maybe a good thing I didn't try for uni 
1,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots Age of the instant gratification 
1,needs to have an increase on her salary com-p-wxluu 
0,my stomach feels like it's touching the ground i'm SO full 
1,Pug just woke me from an incredible sleep! 
1,i can`t wait to hear your new album i`m sure will be amazing please just replay to me i love you so much!!!! 
0,Sooo much work so little time 
1,i know ridiculous! we never got to hang out i love chicago and want to go shopping so a trip sounds like fun 
0,hates the net ayaw bumukas ng twitter com-p-wxlxs 
0,Ugh my internet was down! 
1,omg i didnt tweet all that much today *sadness* 
0,is feeling so giddy and wanna go home 
1,the week just wasnt the same without an adam lambert performance!!! 
0,Up and packing Its the last day of youth camp 
1,GOSSIP GIRL WHEN ARE YOU COMING BACK ! chaceeeeeee 
0,Somebody please save the polar bears! 
1,noooooooooooo i just look at a lot of pictures lol lol 
1,Not really sleepy bored is the right word again not much work 
0,It has come to my attention from a 16yo friend that I've recently gained a TON of weight He didn't know it was me 
0,guess im staying home tonight no movie-ing for me 
0,went to the cd store to search for the cd But 
0,reminds me of the weather a month ago it was horrible I hope all is well hugs 
0,I miss my mom &quot;May angels lead you in&quot; 
1,there's really no android twitter app of Tweetie's calibre 
0,on jacksonville beach walking in the cold Ass water but have to work in the morning ily <('-')> 
0,i feel the same way every day 
0,Can't sleep Sucks The one day i have to sleep in and i have to get up and go shopping with mom Ugh 
1,well i just got home and its not on till tmw at 530p but with comcast its on right now but i didnt miss it 
0,Sleppytime Really missing my godfather right now Love you Wayne 
0,So have a headache right now and it sucks 
0,hope ya sleepin well guys still here 
1,i should be finished but i'm not color drawing here i come 
0,Lakers baby Lakers!! I'll miss the game tmwr I have to work you'll have to keep me posted please 
0,comfort food of the day: pan mee though it didnt taste any good 
0,damn being drunk and hot sucks 
0,is not sleeping because he has paperwork to do 
0,Showered in ice-cold water Sweating now Means one thing: I'm sick 
0,midnight cry wish the person I wanted wanted me right now 
1,I'ma need you to follow me real quick cause I can't DM you 
0,I'm poorly and can't sleep 
0,Went to pole class Feeling discouraged I am hopeless when it cones to dancing or sexy moves or spreading my legs 
0,And these poor unfortunate souls don't appear to have any pants at all ? fm-~78qvz 
0,If I told you how often I wash my hair you would never speak to me again 
0,Looks like another sleepless night dedicated to homework Sorry in advance Ms Chapman 
0,com-662vk - WHY DO U LOT MOCK ME!!! 
0,didnt say goodnight to you 
0,I am not a pussy! damnit! [sending you an e-mail right now btw] 
1,In the Hongkong International Airport Has to wait for 3-4 hours for our next flight to Cebu 
1,Can't sleep and nothings on tv!! 
1,The pics I just uploaded are the baby pics of my cats Missy is now an adult and a pretty little kitty but Batty is in kitten heaven now 
1,oh you've been superseeded? not good enough 
0,today we say goodbye to the second good friend in a week from dmp but at least the sun is shinning and I'm definately NOT working this pm 
0,is really really bored I guess I will go to bed 
0,I met a stranger just 10 min ago He was stalking me at the store 
1,tee we beefin what was u supposed to do before leavin???? 
0,Sometimes the things you say hurt the ones you love most unintentionally And you can never ever take it back or fix it 
0,Having Fever dont feel to work 
0,Taking Horse Pills hoping I can get some sleep tonight 
1,PGPM student from where? I myself was a PGPM student about 4 years back I wish I could stay one 
0,missing 6 days can't pass quick enough 
0,Hey! That's my school! I hate that place 
0,Working from home today my back is killing me Doctor and then physio after later today 
1,back to work with no distractions 
1,demi just say hi to me and it`s enough just replay to me please love you so much!!! 
1,awwww i never noticed this ly-RConp 
1,that sucks well state starts tomorrow so im headin 2 bed nitey nite 
0,Looks like it's going to be too nice to work today how annoying as I have no choice 
1,did you guys keep a set list? I forgot to ask for one xx 
1,First impression of Silverlight: sadly based on what I saw today it's quite problematic 
0,is desperatly hoping my dad takes me to vanessa's game 
1,the time you go to bed i have to get up to go to work 
1,big now!!! Vanessa is going to be 3 in September its going by so fast! its hard cuz Im workin so much I miss out on alot 
0,sniff sniff take care ravels! Hopefully we'll be chatting again soon In the mean time I'll HELLA miss you 
1,Lucky now I want to teleport 
0,Somebody please save the polar bears! 
